Tuesday over 2K,,Tuesday 4-7 kohm,,Thursday 1-50 kohm,,Thursday 4-7,
122.933884,4.994022754,166.705185,0.079042227,84.816154,1.702434958,26.11866,0.000575051
123.187263,4.947858934,166.808243,0.078930725,84.94175,1.690659472,26.168337,0.000572445
123.424324,4.88517745,166.918411,0.079129746,85.060715,1.680470803,26.238869,0.000570565
123.644844,4.837301265,167.036285,0.079143453,85.175758,1.672784322,26.286686,0.000569386
123.882393,4.815740768,167.149887,0.079198328,85.302269,1.659542119,26.338482,0.000569277
124.112785,4.779233781,167.281418,0.079192043,85.432426,1.654130584,26.377737,0.000568136
124.360474,4.726321721,167.39006,0.079275506,85.561081,1.642941111,26.424929,0.00056705
124.609711,4.677963644,167.516312,0.079367177,85.695137,1.634926017,26.465096,0.000568988
124.839294,4.659823405,167.643234,0.079416489,85.821671,1.626325104,26.51107,0.000568225
125.071091,4.634393543,167.776917,0.079469268,85.947609,1.616576737,26.568695,0.000566619
125.312111,4.564153438,167.900772,0.079511526,86.083824,1.606879656,26.622927,0.000568246
125.540565,4.542985597,167.999191,0.079509267,86.201309,1.59753793,26.671345,0.000567008
125.773376,4.496365707,168.107208,0.079593902,86.329659,1.587852846,26.73143,0.000565574
126.002502,4.454453411,168.240005,0.079550594,86.458336,1.576518224,26.775248,0.000563385
126.243988,4.435482822,168.379608,0.079698923,86.587616,1.565304195,26.833769,0.000564195
126.461449,4.383745702,168.501587,0.079604854,86.72142,1.559653174,26.907299,0.000562011
126.702377,4.345075281,168.626358,0.079625501,86.855545,1.544270182,26.970413,0.000561659
126.943947,4.305866332,168.74646,0.079892509,86.989357,1.53727482,27.033524,0.000561467
127.199432,4.274834132,168.863159,0.079949954,87.124695,1.529413892,27.084986,0.000561977
127.455269,4.23635074,168.98671,0.080010421,87.269112,1.519224709,27.139513,0.000559574
127.700348,4.209660428,169.116425,0.080044459,87.408096,1.511906949,27.19038,0.000561738
127.929123,4.165751045,169.246796,0.080110426,87.549179,1.500070858,27.236622,0.000561622
128.175476,4.127549161,169.370926,0.080216986,87.6791,1.490165713,27.294825,0.000561289
128.432037,4.084742898,169.500046,0.080118347,87.818092,1.482459809,27.343828,0.00056008
128.676636,4.056793142,169.636612,0.080165299,87.951035,1.474445073,27.393127,0.000560535
128.921585,4.046705228,169.779678,0.080252301,88.080673,1.463367947,27.444874,0.000560892
129.145569,4.004035825,169.919937,0.08040699,88.216362,1.45541276,27.492662,0.00056198
129.391159,3.976669044,170.034515,0.080429297,88.345688,1.446047197,27.537357,0.000562245
129.630051,3.924718325,170.148148,0.080496299,88.484711,1.439053147,27.577778,0.00056352
129.864624,3.906096104,170.268311,0.080413352,88.618591,1.430718395,27.621557,0.000562453
130.110641,3.887151503,170.403641,0.08050655,88.753098,1.423487841,27.663212,0.000562195
130.386948,3.837483317,170.487885,0.080590577,88.880341,1.412399769,27.714323,0.000566272
130.640137,3.799534625,170.594116,0.080546238,89.023598,1.406525808,27.77129,0.00056349
130.867447,3.781152976,170.687012,0.080607592,89.167175,1.397880917,27.813236,0.000564485
131.103104,3.732796058,170.775284,0.080578823,89.295044,1.389552752,27.86281,0.000562706
131.345612,3.711581116,170.881195,0.080684313,89.444984,1.379386863,27.902304,0.000561767
131.578842,3.6807071,170.986496,0.080727638,89.575874,1.370476591,27.956491,0.00056109
131.83902,3.651186306,171.101715,0.080786414,89.711624,1.360928742,28.001787,0.000560641
132.100128,3.622113882,171.210434,0.080720094,89.857643,1.351366181,28.059626,0.000560025
132.336594,3.606636879,171.327209,0.080770809,89.998848,1.344201313,28.121138,0.000560718
132.581711,3.563351295,171.44519,0.080888882,90.143074,1.335867872,28.182034,0.00056045
132.814804,3.535268548,171.552994,0.080923127,90.28035,1.326020748,28.236502,0.000560614
133.055664,3.494081529,171.675354,0.080902451,90.424583,1.318443967,28.28944,0.000560406
133.306763,3.473520397,171.802063,0.080900686,90.574883,1.309238769,28.337488,0.000559156
133.558823,3.441564204,171.934937,0.08105075,90.717926,1.303692494,28.389803,0.00055812
133.801956,3.41091804,172.067535,0.081007799,90.860069,1.295974763,28.461098,0.000558641
134.049438,3.380804668,172.20134,0.081243324,91.005249,1.288232325,28.511879,0.000558456
134.30687,3.36043417,172.332687,0.081253106,91.162224,1.277226088,28.568182,0.000556952
