Temperature,Conductivity,Temperature,Conductivity,Temperature,Conductivity
140.341873,0.365059214,94.933319,0.919649513,30.188879,0.198757202
140.579346,0.367527886,95.087509,0.925217679,30.243862,0.199597435
140.831131,0.370824433,95.253815,0.930574509,30.304636,0.199532475
141.081055,0.374243484,95.413475,0.936696743,30.364788,0.200639106
141.340988,0.377413154,95.567703,0.942727664,30.413036,0.200942427
141.600311,0.381851812,95.728584,0.948288781,30.46924,0.200861515
141.855026,0.38461075,95.867943,0.955356533,30.577942,0.201429161
142.120316,0.388067556,96.02462,0.961001959,30.646627,0.202312839
142.366989,0.391078373,96.184639,0.966878086,30.712574,0.202016906
142.61557,0.393808115,96.33828,0.973103587,30.768442,0.202977266
142.860458,0.397838457,96.497726,0.979539085,30.82645,0.203093717
143.125549,0.401392762,96.663811,0.986656588,30.882309,0.203862705
143.379837,0.404029157,96.812347,0.993235297,30.956467,0.204632389
143.633804,0.40777761,96.984543,0.999491399,31.015696,0.204130198
143.886581,0.411813135,97.160988,1.007149621,31.084354,0.20514396
144.158661,0.415085964,97.308029,1.014155231,31.13257,0.205242062
144.42363,0.418614625,97.468742,1.021595697,31.191467,0.204889089
144.663742,0.421444517,97.624596,1.028194749,31.244873,0.205749347
144.907288,0.425387018,97.795944,1.034916469,31.312008,0.20577203
145.156174,0.429140372,97.957581,1.041173971,31.376068,0.205941076
145.403839,0.431912691,98.113785,1.047644343,31.433134,0.206151465
145.675186,0.435571492,98.285774,1.05504921,31.496273,0.206608312
145.938141,0.439359333,98.45565,1.061522635,31.558203,0.207304074
146.215469,0.443470825,98.624931,1.068743609,31.620743,0.207124879
146.462936,0.446178201,98.788757,1.075910588,31.689657,0.207876682
146.70607,0.451457051,98.953819,1.083698678,31.765923,0.207698088
146.96138,0.454648951,99.108566,1.090385535,31.830273,0.207335474
147.234451,0.459049482,99.275162,1.097785503,31.889725,0.207831233
147.496674,0.462368989,99.45636,1.104634798,31.961697,0.208301726
147.749573,0.466387153,99.622673,1.111024667,32.017498,0.208258405
147.991608,0.470946482,99.797203,1.118391318,32.083359,0.207977431
148.233978,0.473347845,99.972046,1.126270848,32.162621,0.208045532
148.490707,0.478293114,100.157532,1.133861953,32.240059,0.208577943
148.754929,0.482320227,100.319962,1.141707572,32.320538,0.208671254
149.007019,0.486407356,100.490311,1.149753248,32.389435,0.209191919
149.266632,0.490180872,100.657013,1.157772033,32.455566,0.209605509
149.518173,0.493765283,100.819199,1.16578721,32.579609,0.209649475
149.787506,0.498876482,100.984085,1.173934586,32.667976,0.209722406
150.042526,0.501450996,101.162697,1.180910262,32.754524,0.209609746
150.319702,0.508151234,101.340088,1.187813273,32.869999,0.209872629
150.56575,0.51126262,101.523872,1.196817868,32.95319,0.210205975
150.820541,0.515742237,101.719513,1.205064094,33.028721,0.210658617
151.068481,0.519525467,101.896667,1.21410701,33.108826,0.211005527
151.31459,0.524169199,102.073502,1.223420492,33.213303,0.211028834
151.578506,0.528401233,102.257355,1.23103929,33.288841,0.211512681
151.834335,0.532506676,102.442451,1.239208161,33.348236,0.211947716
152.070526,0.53704913,102.609627,1.248218637,33.414604,0.211827017
152.328598,0.54160359,102.792297,1.256934885,33.478855,0.212279124
152.57515,0.545812355,102.990509,1.265623562,33.541283,0.212537022
152.844803,0.549957768,103.178123,1.273230797,33.600662,0.212428093
153.089203,0.554607896,103.352654,1.281755756,33.669769,0.212800699
153.352982,0.560030088,103.540573,1.290780103,33.741001,0.213510231
153.610855,0.564622626,103.733681,1.298662427,33.819847,0.213946982
153.853455,0.569696824,103.921631,1.308142681,33.901119,0.214559478
154.107346,0.573884086,104.111145,1.318289177,33.978722,0.214894822
154.375275,0.578868084,104.289101,1.327206498,34.05389,0.214389205
154.621063,0.583345629,104.461929,1.336142071,34.119923,0.214622156
154.879684,0.588488269,104.631386,1.343965213,34.205147,0.215383239
155.128326,0.593633017,104.817619,1.353463298,34.288502,0.215555539
155.381699,0.596487339,105.009636,1.362615766,34.382206,0.215431479
155.633209,0.602976906,105.184952,1.372547112,34.458897,0.21581063
155.903793,0.607558541,105.346848,1.381664785,34.541634,0.215481139
156.156601,0.612431479,105.519768,1.39039874,34.61554,0.216560165
156.408188,0.617777446,105.708191,1.400712881,34.687618,0.216792772
156.673843,0.623229998,105.88662,1.409311613,34.758789,0.217032686
156.930145,0.628040577,106.078461,1.419098663,34.844872,0.217778662
157.174896,0.633557807,106.278824,1.4281263,34.922409,0.218093101
157.43689,0.63823968,106.466721,1.438428778,34.994789,0.217859545
157.690765,0.642390664,106.628159,1.448518341,35.081738,0.217731292
157.952164,0.648199087,106.815483,1.458581237,35.176598,0.218021503
158.198257,0.654236812,106.981514,1.467829248,35.26049,0.218724144
158.4841,0.661630591,107.160355,1.478018912,35.341652,0.218988492
158.764328,0.666075554,107.326431,1.488129098,35.423717,0.219629629
159.004868,0.671096706,107.51046,1.498010364,35.520069,0.219285398
159.252609,0.676857686,107.696976,1.508853423,35.609715,0.219830508
159.502579,0.681632739,107.88929,1.518834215,35.708191,0.220243172
159.760376,0.688099856,108.071571,1.529606885,35.811188,0.220539873
160.022232,0.69479379,108.26577,1.539640369,35.896866,0.220171909
160.266312,0.698739406,108.457214,1.55085436,35.984058,0.220144385
160.523209,0.704797668,108.634979,1.561954396,36.071541,0.221002442
160.784225,0.710580615,108.807892,1.572244835,36.166317,0.221522727
161.028366,0.71619239,108.961594,1.583408001,36.24741,0.221755309
161.280334,0.721683045,109.154961,1.594405368,36.327885,0.222737463
